Url,Title,Overview,Genres
https://www.themoviedb.org/movie/447273-snow-white?language=en-US,Snow White,"A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother, the Evil Queen.","Family, Fantasy"
https://www.themoviedb.org/movie/675776-persona?language=en-US,Persona,An Actress finds herself in a complex puzzle of Personas when someone unexpected arrives to take her place.,"Thriller, Horror"
https://www.themoviedb.org/movie/696506-mickey-17?language=en-US,Mickey 17,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.","Science Fiction, Comedy, Adventure"
https://www.themoviedb.org/movie/1437920-centered-joe-lieberman?language=en-US,Centered: Joe Lieberman,"In a time of deep political division, Centered: Joe Lieberman chronicles the remarkable career of Joe Lieberman, a principled and bipartisan politician who navigated the tumultuous world of American politics with unwavering integrity, offering timely lessons on the power of collaboration and leadership beyond party lines.",Documentary
https://www.themoviedb.org/movie/1437701-leaving-neverland-2-surviving-michael-jackson?language=en-US,Leaving Neverland 2: Surviving Michael Jackson,"Explores the personal toll on James Safechuck and Wade Robson after they went public with accusations against pop icon Michael Jackson. The two men continue to seek justice as they face backlash from his global army of fans. With exclusive access to court hearings, the film shows the extent to which the Jackson estate has fought to prevent Robson and Safechuck from having their day in court.",Documentary
https://www.themoviedb.org/movie/1417181-dawn-of-impressionism-paris-1874?language=en-US,Dawn of Impressionism: Paris 1874,"The Impressionists are the most popular group in art history – millions flock every year to marvel at their masterpieces. But, to begin with, they were scorned, penniless outsiders. 1874 was the year that changed everything; the first Impressionists, “hungry for independence”, broke the mould by holding their own exhibition outside official channels. Impressionism was born and the art world was changed forever. What led to that first groundbreaking show 150 years ago? Who were the maverick personalities that wielded their brushes in such a radical and provocative way? The spectacular Musée d’Orsay exhibition brings fresh eyes to this extraordinary tale of passion and rebellion. The story is told not by historians and curators but in the words of those who witnessed the dawn of Impressionism: the artists, press and people of Paris, 1874.",Documentary
https://www.themoviedb.org/movie/1439804-spider-in-the-cupboard?language=en-US,Spider in the Cupboard,"SMILE, YOU'RE ON CAMERA...Jen is a crisis hotline volunteer, using the service to cope with losing her sister at a young age. Little does she know, a former caller has beensecretly living in her apartment, recording her every move with a home video camera. Jen is sent into a spiral by thecombination ofJohn Doe's subtlemaniuplations and the apathy of Jen's loved ones, namely Harry.","Horror, Thriller"
https://www.themoviedb.org/movie/1436099-act-of-kindness?language=en-US,Act of Kindness,A young woman living in her car has her life turned upside down after a friendly encounter in the woods goes south.,Thriller
https://www.themoviedb.org/movie/1442200-revolucio-304?language=en-US,Revolució 304,"Revolució 304, a TV3 documentary, uses Lamine Yamal as a starting point to explore racism, identity, and representation in Catalonia. Featuring voices from Rocafonda, it calls for structural change and a more inclusive future.","Documentary, TV Movie"
https://www.themoviedb.org/movie/1149463-magma?language=en-US,Magma,"Katia Reiter directs the Guadeloupe Volcano Observatory. A passionate volcanologist, she’s waved goodbye to the idea of one day fulfilling her professional dream of managing a major eruption. But she hadn’t appreciated the unpredictable nature of the Soufrière... or of young volcanologist Aimé Lubin.",Drama
https://www.themoviedb.org/movie/1442316-endelose-nat?language=en-US,Nobody's Angel,"The five women in the Danish band Miss B. Haven rocked the 1980s at a time when men still had a monopoly on rock, but where a new movement was taking shape.","Documentary, Music"
https://www.themoviedb.org/movie/1266809-la-cache?language=en-US,The Safe House,"An eccentric family portrait set during the May 1968 protests in Paris. A nine-year-old boy stays with his grandparents and uncles while his parents protest. When an illustrious guest seeks refuge in the apartment, the family’s dynamics change.","Comedy, Drama"
https://www.themoviedb.org/movie/1262495-sariri?language=en-US,Sariri,"In La Lágrima, a desertic mining lost town, women live under the strict rules of patriarchy. Dina (16), pressed by an unwanted pregnancy, plans to escape. But when she finds out her sister Sariri (11), has to initiate womanhood after the arrival of her menarche, she’ll have to decide if they’ll escape together through the desert.",Drama
https://www.themoviedb.org/movie/898271-algo-viejo-algo-nuevo-algo-prestado?language=en-US,"Something Old, Something New, Something Borrowed","A working-class family in Buenos Aires runs an underground sports betting operation, which becomes matriarchal after the father's death.",Drama
https://www.themoviedb.org/movie/1445168-j-existe?language=en-US,I Exist,A group of young LGBT+ people from Central Africa talk about their living conditions and their hopes.,
https://www.themoviedb.org/movie/1442918?language=en-US,Wild Strawberries,"Overworked New York architect Daphne Bello arrives in the Rhodope Mountains to inherit the abandoned house of her grandmother, a woman she never knew, who recently passed away at the age of 102. As she searches for the truth about her long-deceased Bulgarian father, Daphne clashes with her eccentric local cousin Orlin, who is eager to rid her of the supposedly worthless property—while keeping secret the unique mineral spring flowing beneath it. Unraveling the dramatic history of her father’s lineage, still alive in the memories of the village elders, Daphne discovers an unexpected opportunity to rediscover herself.",Drama
https://www.themoviedb.org/movie/1107215-ma-mere-dieu-et-sylvie-vartan?language=en-US,"My Mom, God and Sylvie Vartan","In 1963, Esther gives birth to Roland, the youngest of a large family. Roland is born with a club foot that prevents him from standing. Against everyone's advice, she promises her son that he will walk like the others and that he will have a fabulous life. From then on, Esther will do everything in her power to keep this promise. Through decades of trials and miracles of life, this film is the story of a true, funny and moving story, that of an incredible destiny and the greatest love there is: that of a mother for her child.","Drama, Comedy"
https://www.themoviedb.org/movie/1442431-legitimo?language=en-US,Legítimo,We don't have an overview translated in English. Help us expand our database by adding one.,Documentary
https://www.themoviedb.org/movie/1441967-haervejen?language=en-US,The Ox Road,"Prince Joachim and author Steffen Jacobsen are on a hike through Jutland, bringing with them their own life stories. A beautiful nature film with a words of wisdom along the way.",Documentary
https://www.themoviedb.org/movie/1441966-take-the-money-and-run?language=en-US,Take the Money and Run,The (art)work of a genius or simple theft? Artist Jens Haaning made headlines around the world when he pocketed a fortune in protest against the conditions of the art world - and exhibited his action as a work of art.,Documentary
https://www.themoviedb.org/movie/1083968-locked?language=en-US,Locked,"When Eddie breaks into a luxury SUV, he steps into a deadly trap set by William, a self-proclaimed vigilante delivering his own brand of twisted justice. With no means of escape, Eddie must fight to survive in a ride where escape is an illusion, survival is a nightmare, and justice shifts into high gear.","Horror, Thriller"
https://www.themoviedb.org/movie/1439004-l-echappee-belle?language=en-US,L'échappée belle,We don't have an overview translated in English. Help us expand our database by adding one.,Drama
https://www.themoviedb.org/movie/1437603-3?language=en-US,3 Days,We don't have an overview translated in English. Help us expand our database by adding one.,Drama
https://www.themoviedb.org/movie/1434009-we-live-here?language=en-US,We Live Here,"The film takes place in the desolate Kazakh steppe, on the grounds of a former nuclear testing site, where two ecologists conduct research to identify radioactive areas unfit for habitation. Nearby, an eyewitness to the nuclear tests writes down his personal memories, while his son struggles to save his sick daughter. Through the intimate story of three generations of one family, the film reflects on humanity's collective history and the dire situation facing our future. The steppe serves as a metaphor for our planet, now perilously close to becoming a vast nuclear wasteland.",Documentary
https://www.themoviedb.org/movie/1432534-carmen-bolude?language=en-US,Carmen & Bolude,"Best friends Carmen and Bolude must travel from NYC to Sydney, Australia, where they have ten days to collect 100 'welcomes' so that Bolude's traditional Nigerian father will agree to let her marry an Australian.","Comedy, Romance, Drama"
https://www.themoviedb.org/movie/1432098?language=en-US,Women's Gukgeuk: Enduring on the Edge of Time,We don't have an overview translated in English. Help us expand our database by adding one.,Documentary
https://www.themoviedb.org/movie/1235619-les-bodin-s-partent-en-vrille?language=en-US,Les Bodin’s partent en vrille,We don't have an overview translated in English. Help us expand our database by adding one.,Comedy
https://www.themoviedb.org/movie/1425373-the-golden-spurtle?language=en-US,The Golden Spurtle,"In a quaint Scottish village in the Highlands, contenders from around the globe gather to compete for the title of World Porridge Champion armed only with oats, salt and water. As the ailing Porridge Chieftain's tenure ends, he embarks on a mission to find a successor. Amidst intense rivalries and the charm of eccentric locals, this documentary delves into the legacy of the village and unveils a captivating culinary spectacle.",Documentary
https://www.themoviedb.org/movie/1425370-il-castello-indistruttibile?language=en-US,The Castle,"In an isolated neighborhood of Palermo, three kids turn an abandoned building into a secret shelter. Here they can escape the violence of the outside world and share their dreams.",Documentary
https://www.themoviedb.org/movie/1425366-heks?language=en-US,Witch,"Danish author and self-proclaimed witch Andrea Hejlskov invites us into her personal universe of divination, spirituality and nature motifs from Nordic mythology. After 10 years in the wilderness, she finds herself in the middle of the crisis of her life.",Documentary
https://www.themoviedb.org/movie/1328767-argoat?language=en-US,Argoat,We don't have an overview translated in English. Help us expand our database by adding one.,Documentary
https://www.themoviedb.org/movie/1418780?language=en-US,The First Soul : Song Written Again,We don't have an overview translated in English. Help us expand our database by adding one.,"Drama, Music"
https://www.themoviedb.org/movie/1415669-sanatorium?language=en-US,Sanatorium,"Despite a war raging close by, mud treatments and electroshock therapies continue at Kuyalnik Sanatorium, an enormous 1970s brutalist building on the shores of Odesa, where a small group search for love, healing, and happiness.",Documentary
https://www.themoviedb.org/movie/1393191-gartneren-buddhisten-og-spionen?language=en-US,"The Gardener, the Buddhist & the Spy","The Gardener, the Buddhist & the Spy is a gripping story about power struggle, failure, and the delicate balance between good and bad.",Documentary
https://www.themoviedb.org/movie/1210938?language=en-US,Revelations,A pastor who believes in divine revelation and a detective haunted by visions pursue a missing person case — exposing their own demons in the process.,"Thriller, Crime, Mystery"
https://www.themoviedb.org/movie/1018964-yo-vi-tres-luces-negras?language=en-US,I Saw Three Black Lights,"A wise old man embarks on his final journey, entering the Colombian jungle to find a place to die. But the paramilitary soldiers who control the area endanger his peaceful transition to the realm of the dead.",Drama
https://www.themoviedb.org/movie/1000881-prosper?language=en-US,Dead Man's Boots,"One evening, Prosper, a loser Uber driver who still lives with his mother, picks up a dying man who has just been shot. Freaked out, Prosper gets rid of the body but not before stealing his pair of crocodile boots. As he slips them on, Prosper finds himself inhabited by the spirit of the deceased: King - a respected gangster feared by all. Split between these two opposing personalities, Prosper and King, united in one body, investigate to unmask King's killer.","Comedy, Fantasy"
https://www.themoviedb.org/movie/970947-the-shrouds?language=en-US,The Shrouds,"Inconsolable since the death of his wife, Karsh, a prominent businessman, invents a revolutionary and controversial technology that enables the living to monitor their dear departed in their shrouds. One night, multiple graves, including that of Karsh’s wife, are desecrated, and he sets out to track down the perpetrators.","Drama, Science Fiction"
https://www.themoviedb.org/movie/1353117-rebirth-home-sweet-home?language=en-US,Rebirth: Home Sweet Home,"Jake is a cop thrust into an alternate realm called ‘The Hindrance’ during a deadly mall shooting. With the help of a mysterious Novice Monk, Jake must race the clock to save his wife, Prang, and stop an evil occultist, Mek, from opening the Gates of Hell.","Horror, Fantasy, Thriller"
https://www.themoviedb.org/movie/1446066-the-beloved-remains?language=en-US,The Beloved Remains,"A short film, set two years after the main event of the horror novel of the same name, written by Sepia Gore.","Horror, Thriller"
https://www.themoviedb.org/movie/1445179-vinilo?language=en-US,Vinilo,"Amid her struggle with a devastating illness, a courageous mother with deep secrets and experience becomes a beacon of hope for her son. Through a delicate and emotional narrative, music becomes the guide to find the light in the darkness.",
